Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"ter�a-feira, 07/04",47%
PIRACICABA,3538709,407252,SP,"segunda-feira, 06/04",49%
PIRACICABA,3538709,407252,SP,"domingo, 05/04",56%
PIRACICABA,3538709,407252,SP,"s�bado, 04/04",55%
PIRACICABA,3538709,407252,SP,"sexta-feira, 03/04",51%
PIRACICABA,3538709,407252,SP,"quinta-feira, 02/04",52%
PIRACICABA,3538709,407252,SP,"quarta-feira, 01/04",52%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 31/03",53%
PIRACICABA,3538709,407252,SP,"segunda-feira, 30/03",53%
PIRACICABA,3538709,407252,SP,"domingo, 29/03",57%
PIRACICABA,3538709,407252,SP,"s�bado, 28/03",53%
PIRACICABA,3538709,407252,SP,"sexta-feira, 27/03",50%
PIRACICABA,3538709,407252,SP,"quinta-feira, 26/03",52%
PIRACICABA,3538709,407252,SP,"quarta-feira, 25/03",52%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 24/03",51%
PIRACICABA,3538709,407252,SP,"segunda-feira, 23/03",48%
PIRACICABA,3538709,407252,SP,"domingo, 22/03",52%
PIRACICABA,3538709,407252,SP,"s�bado, 21/03",52%
PIRACICABA,3538709,407252,SP,"sexta-feira, 20/03",40%
PIRACICABA,3538709,407252,SP,"quinta-feira, 19/03",39%
PIRACICABA,3538709,407252,SP,"quarta-feira, 18/03",38%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 17/03",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 13/03",31%
PIRACICABA,3538709,407252,SP,"quinta-feira, 12/03",29%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 10/03",31%
PIRACICABA,3538709,407252,SP,"segunda-feira, 09/03",31%
PIRACICABA,3538709,407252,SP,"domingo, 08/03",34%
PIRACICABA,3538709,407252,SP,"s�bado, 07/03",32%
PIRACICABA,3538709,407252,SP,"quarta-feira, 04/03",30%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 03/03",30%
PIRACICABA,3538709,407252,SP,"domingo, 01/03",35%
PIRACICABA,3538709,407252,SP,"s�bado, 29/02",32%
PIRACICABA,3538709,407252,SP,"quarta-feira, 26/02",33%
