,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
junho 2018,OUTRAS DESPESAS CORRENTES,847.0417802440838,872.8203675743697,28.00365839730195,720.144492645406,152.67587492896374,126.09706838883027,346.47999919987234,526.3403683744973,340.4498703377157,3,2018,2018-06-20,91.88785159755834
agosto 2018,OUTRAS DESPESAS CORRENTES,845.0063642574106,871.8060010986438,34.79728870750442,753.2112957414181,118.59470535722559,128.2919629929098,473.93938114910475,397.86661994953903,466.05495769484935,4,2018,2018-08-20,92.10918721115112
outubro 2018,OUTRAS DESPESAS CORRENTES,837.1660572072847,877.9596591477118,36.89713495707795,783.1198350120889,94.83982413562298,135.94083152371869,605.4828135187696,272.47684562894227,596.3292459300283,5,2018,2018-10-20,92.97181691723601
dezembro 2018,OUTRAS DESPESAS CORRENTES,837.6657197685289,874.0205300377968,12.784661309501042,796.3719013951169,77.64862864267971,151.08728169125575,756.931477627274,117.08905241052261,739.327278821661,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,OUTRAS DESPESAS CORRENTES,881.966161702123,884.1609116801138,625.9135942221945,625.9135942221945,258.24731745791917,101.57329762093143,101.57329762093143,782.5876140591823,81.65049528705954,1,2019,2019-02-20,93.61720061986506
abril 2019,OUTRAS DESPESAS CORRENTES,870.3619124210677,895.6539789572576,100.53798359516887,718.2162761797833,177.4377027774741,135.31494113145007,235.55181348225847,660.1021654749991,218.6565051091192,2,2019,2019-04-20,94.86536798275618
junho 2019,OUTRAS DESPESAS CORRENTES,869.1435188907269,901.2252004172384,24.594794300718394,741.8056610619661,159.4195393552723,143.20608702638816,378.42815859150727,522.7970418257311,357.80538887629564,3,2019,2019-06-20,94.99835332762892
agosto 2019,OUTRAS DESPESAS CORRENTES,865.5996571405085,901.6987166687575,36.48349479141453,775.9798573197778,125.71885934897952,135.70152032124042,512.9097534275761,388.78896324118125,492.94930247891705,4,2019,2019-08-20,95.28400620266395
outubro 2019,OUTRAS DESPESAS CORRENTES,865.0799511063612,893.0699397682428,30.729152649100307,806.2431116625432,86.82682810569942,140.91079106287924,653.5125934744974,239.55734629374538,631.2393437709381,5,2019,2019-10-20,95.34124908861676
dezembro 2019,OUTRAS DESPESAS CORRENTES,850.7703608571281,900.8299501993204,48.38160608900876,841.2883682564529,59.54158194286739,160.1419709348102,802.8445838712382,97.98536632808207,792.999440934897,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,OUTRAS DESPESAS CORRENTES,878.0670239710204,886.4894758480942,650.4864613043728,650.4864613043728,236.00301454372152,111.23108293625741,111.23108293625741,775.2583929118368,89.91370239792072,1,2020,2020-02-20,97.3923412056326
abril 2020,OUTRAS DESPESAS CORRENTES,880.1724794231089,911.6290825691859,93.99692144846622,746.0431387043485,165.58594386483742,137.69896105069697,249.19675721455144,662.4323253546345,226.61220442195247,2,2020,2020-04-20,97.15936955453364
junho 2020,OUTRAS DESPESAS CORRENTES,881.2199902943198,924.7925634693058,36.22346796998161,783.154487534565,141.6380759347409,134.66188023834817,384.1552114975958,540.6373519717101,362.39462306449,3,2020,2020-06-20,97.04387569718891
agosto 2020,OUTRAS DESPESAS CORRENTES,875.9402840932702,939.1059994074176,21.620116518774047,800.0824435829038,139.0235558245137,129.08845945764804,510.9420587872856,428.163940620132,489.4201044143924,4,2020,2020-08-20,97.62880501439999
outubro 2020,OUTRAS DESPESAS CORRENTES,862.8493915851075,933.2267575421249,25.55349334073252,813.6787368075875,119.54802073453737,123.25980350116032,626.5658536575521,306.6609038845727,611.7915092624357,5,2020,2020-10-20,99.11
fevereiro 2016,INVESTIMENTOS,106.35996757152027,125.32882494168466,35.79353366557195,35.79353366557195,89.53529127611269,1.9724567601813079,1.9724567601813079,123.35636818150336,1.71738122527552,1,2016,2016-02-20,83.58951401542743
abril 2016,INVESTIMENTOS,105.25661373072587,129.66605008150307,11.69126682965361,46.68660114016691,82.97944894133616,6.204136604546773,8.145186286155317,121.52086379534775,7.971300263043207,2,2016,2016-04-20,84.46574219786739
junho 2016,INVESTIMENTOS,104.07008750112352,132.47251429726458,17.53139377181918,63.691710863313325,68.78080343395128,11.446722685771896,19.500090730479272,112.97242356678532,19.383171994990906,3,2016,2016-06-20,85.42875492349346
agosto 2016,INVESTIMENTOS,103.07339578471478,130.10957936508785,4.339261740148397,67.42098944551847,62.68858991956939,9.36370431637438,28.677040337916967,101.43253902717089,28.49908154536341,4,2016,2016-08-20,86.25482775952575
outubro 2016,INVESTIMENTOS,102.72316063170996,125.32566095852742,2.9321859413102525,70.12408425837201,55.201576700155414,12.088539244403407,40.668137293415356,84.65752366511207,10.81425779077396,5,2016,2016-10-20,86.54891404553938
dezembro 2016,INVESTIMENTOS,102.23064416574518,99.41790521396076,-6.442895015463801,63.34497230852301,36.07293290543775,8.04781132224608,48.520961164594425,50.89694404936635,48.3965720487908,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,INVESTIMENTOS,86.62264300574083,90.05582003125775,30.57211039453524,30.57211039453524,59.483709636722516,1.2833448497639597,1.2833448497639597,88.7724751814938,,1,2017,2017-02-20,87.5866475177533
abril 2017,INVESTIMENTOS,86.28511787726896,90.95416361717756,5.076037956321676,35.52902412270461,55.42513949447295,4.065746614561244,5.3440909111181,85.61007270605947,5.13551366177366,2,2017,2017-04-20,87.92926389451829
junho 2017,INVESTIMENTOS,86.21547457007668,103.9164725464701,4.704071107212256,40.20441868867671,63.71205385779339,5.758671181194203,11.098448716215213,92.81802383025489,10.741512989757227,3,2017,2017-06-20,88.00029156985306
agosto 2017,INVESTIMENTOS,85.84514117198938,107.19194163918576,13.200933816807785,53.23265683727241,53.959284801913356,7.888787661988033,18.939563657649668,88.25237798153609,18.529517698245293,4,2017,2017-08-20,88.37992222296648
outubro 2017,INVESTIMENTOS,85.34781623254052,106.5709487075263,13.124457110945547,52.92426515107017,53.646683556456125,7.843085706201592,18.829841462303076,87.74110724522322,18.422171013954404,5,2017,2017-10-20,88.89491535821291
dezembro 2017,INVESTIMENTOS,84.73436344076222,97.46951946199256,9.282163211276512,66.62764307443653,30.84187638755603,10.08972174292927,37.227439535193014,60.24207992679955,45.915319970694526,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,INVESTIMENTOS,89.05882210942147,92.5197360046577,15.738084956707654,15.738084956707654,76.78165104795005,1.446617770640526,1.446617770640526,91.07311823401717,1.304770015342953,1,2018,2018-02-20,90.08718518803816
abril 2018,INVESTIMENTOS,88.78291609735004,99.33338723636707,3.4900670267215963,19.179395081471668,80.1539921548954,3.4586295721180775,4.900765691972804,94.43262154439427,5.245170798536991,2,2018,2018-04-20,90.36714440875939
junho 2018,INVESTIMENTOS,87.31359434910534,104.25075956672542,10.494061121629521,29.356044886260868,74.89471468046455,2.362205854487164,7.181865834564094,97.06889373216131,6.998525091396173,3,2018,2018-06-20,91.88785159755834
agosto 2018,INVESTIMENTOS,87.10378240129226,107.73525237229138,6.034759407069283,35.32026259814981,72.41498977414156,4.6016623730307575,11.766270399450368,95.96898197284101,11.42403478805868,4,2018,2018-08-20,92.10918721115112
outubro 2018,INVESTIMENTOS,86.29559866666011,108.01913623931965,9.157773035219199,44.15032010887834,63.86881613044132,3.6326335140965487,15.289731750272658,92.72940448904698,14.806054701774928,5,2018,2018-10-20,92.97181691723601
dezembro 2018,INVESTIMENTOS,86.34710419472432,107.79799159011739,3.975766816987597,48.152438044422915,59.64555354569448,6.410983107385947,21.709840534053757,86.08815105606365,19.081877325449806,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,INVESTIMENTOS,79.88485930450992,87.8709411147938,11.315917662413083,11.315917662413083,76.55502345238072,1.1532211205329632,1.1532211205329632,86.71771999426085,1.0032118069985436,1,2019,2019-02-20,93.61720061986506
abril 2019,INVESTIMENTOS,78.83379423942566,101.96554074146717,8.196634151478138,19.363665456227434,82.60187528523973,4.402059549022234,5.540107450967065,96.4254332905001,5.288144869592324,2,2019,2019-04-20,94.86536798275618
junho 2019,INVESTIMENTOS,78.72343717588373,107.74068491167459,16.22967283109308,35.56623167295831,72.17445323871625,6.350085510635414,11.882437531385095,95.8582473802895,11.468105307496407,3,2019,2019-06-20,94.99835332762892
agosto 2019,INVESTIMENTOS,78.48743139633977,108.66959336256906,9.174509593358803,44.63411690472243,64.03547645784663,9.847797247359715,21.694612300445094,86.97498106212397,21.002430342229363,4,2019,2019-08-20,95.28400620266395
outubro 2019,INVESTIMENTOS,78.44030754252941,115.97068572830479,16.520482519963718,61.127801100896555,54.84288462740824,10.502351233822369,32.18393808904227,83.78674763926252,31.55790188151868,5,2019,2019-10-20,95.34124908861676
