,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
junho 2017,Trabalho,10.528374207312265,11.561325330296276,0.022925537677322135,9.155249825058567,0.78,2117353.46,1.3866901554881261,4.116941234364195,0.52,6551079.71,3.0,2017.0,2017-06-20,88.00029156985306
agosto 2017,Trabalho,10.483150207607208,11.506006957491387,0.13578145010950887,9.251705448859523,0.68,1992349.92,1.437810984710038,5.5370681450184955,0.52,5275343.48,4.0,2017.0,2017-08-20,88.37992222296648
outubro 2017,Trabalho,10.42241838317248,11.43934943750469,0.1349948301502185,9.198107728716755,0.68,1992349.92,1.429481343088537,5.5049903588753235,0.52,5275343.48,5.0,2017.0,2017-10-20,88.89491535821291
dezembro 2017,Trabalho,10.34750537500812,10.794718928451742,-1.6145943718872173,8.247477573240063,0.48,2280761.43,0.7563329857182487,7.603598684872916,0.46,2857280.86,6.0,2017.0,2017-12-20,89.53848936746968
fevereiro 2018,Trabalho,10.931632484070136,10.93363054849655,8.030044256461618,8.030044256461618,1.02,2615759.16,1.1615293982333685,1.1615293982333685,0.52,8803410.86,1.0,2018.0,2018-02-20,90.08718518803816
abril 2018,Trabalho,10.897766068001836,10.899757942384698,0.11107124238206074,8.116238261136276,0.81,2515387.25,1.2580361783455933,2.415967135272646,0.49,7666559.49,2.0,2018.0,2018-04-20,90.36714440875939
junho 2018,Trabalho,10.717412398682834,10.719371308341408,0.028621367833458887,8.010539132243233,0.68,2489087.69,1.2084407576131706,3.5844246031839093,0.47,6556149.24,3.0,2018.0,2018-06-20,91.88785159755834
agosto 2018,Trabalho,10.69165877821117,10.6936129806686,0.03139730234911773,8.022687349373745,0.6,2460167.89,1.1835086195050317,4.759319957900228,0.46,5466029.07,4.0,2018.0,2018-08-20,92.10918721115112
outubro 2018,Trabalho,10.592457291403415,10.594393361988766,0.09018469551330857,8.038434342584623,0.54,2376321.54,1.2160402877857526,5.9312013713886,0.46,4335454.32,5.0,2018.0,2018-10-20,92.97181691723601
dezembro 2018,Trabalho,10.59877939953779,9.118009034511907,-0.8235761191536485,7.219655962968346,0.42,1763880.57,1.27937441018309,7.214115819110203,0.44,1769028.27,6.0,2018.0,2018-12-20,92.9163597878966
fevereiro 2019,Trabalho,10.701024954461452,10.701024954461452,7.080748042142808,7.080748042142808,0.91,3389201.9,0.9996177238837723,0.9996177238837723,0.43,9082185.87,1.0,2019.0,2019-02-20,93.61720061986506
abril 2019,Trabalho,10.560228893879362,10.199498548046304,0.010878574783872531,6.998463444749197,0.69,3036673.73,1.0661550590135758,2.0526205625997784,0.41,7728565.78,2.0,2019.0,2019-04-20,94.86536798275618
