Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
dezembro 2018,Transferências para a Educação Básica,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,FU28 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Reserva de Contingência,"32.653.370,00","29.266.370,00",,,,"29.266.370,00",,,,"29.266.370,00",,06,2018,2018-12-20
dezembro 2018,DESPESAS (INTRA-ORÇAMENTÁRIAS) (II),"37.375.200,00","37.061.409,13","7.821.288,82","35.967.114,98","2,28","1.094.294,15","8.217.070,24","35.967.114,98","2,37","1.094.294,15","0,00",06,2018,2018-12-20
dezembro 2018,TOTAL (III) = (I + II),"1.693.091.100,00","1.760.958.718,52","184.585.104,24","1.580.958.224,74","100,00","180.000.493,78","318.051.761,84","1.519.742.119,65","100,00","241.216.598,87","61.216.105,09",06,2018,2018-12-20
outubro 2018,Legislativa,"35.564.630,00","35.564.630,00","3.856.197,49","26.423.291,76","1,89","9.141.338,24","4.901.935,85","24.263.810,69","2,02","11.300.819,31","0,00",05,2018,2018-10-20
outubro 2018,Ação Legislativa,"35.564.630,00","35.564.630,00","3.856.197,49","26.423.291,76","1,89","9.141.338,24","4.901.935,85","24.263.810,69","2,02","11.300.819,31",,05,2018,2018-10-20
outubro 2018,Controle Externo,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU01 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU01 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Judiciária,"0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Ação Judiciária,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Defesa do Interesse Público no Processo Judiciário,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU02 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU02 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Essencial à Justiça,"1.400.000,00","1.405.000,00","83.735,18","1.302.447,71","0,09","102.552,29","107.016,96","896.863,83","0,07","508.136,17","0,00",05,2018,2018-10-20
outubro 2018,Defesa da Ordem Jurídica,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Representação Judicial e Extrajudicial,"1.400.000,00","1.405.000,00","83.735,18","1.302.447,71","0,09","102.552,29","107.016,96","896.863,83","0,07","508.136,17",,05,2018,2018-10-20
outubro 2018,FU03 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU03 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Administração,"81.175.500,00","81.479.980,18","9.035.942,40","63.367.248,39","4,54","18.112.731,79","11.031.448,39","57.905.944,33","4,82","23.574.035,85","0,00",05,2018,2018-10-20
outubro 2018,Planejamento e Orçamento,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU04 - Administração Geral,"74.894.500,00","75.106.980,18","8.577.873,38","58.950.019,84","4,22","16.156.960,34","10.251.299,42","54.524.261,42","4,54","20.582.718,76",,05,2018,2018-10-20
outubro 2018,Administração Financeira,"3.020.000,00","3.020.000,00","155.568,43","2.392.019,23","0,17","627.980,77","372.462,21","1.740.273,40","0,14","1.279.726,60",,05,2018,2018-10-20
outubro 2018,Controle Interno,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Normatização e Fiscalização,"700.000,00","700.000,00",,"16.881,00","0,00","683.119,00","16.881,00","16.881,00","0,00","683.119,00",,05,2018,2018-10-20
outubro 2018,Tecnologia da Informação,"750.000,00","750.000,00","26.700,00","503.814,03","0,04","246.185,97","190.233,92","485.984,03","0,04","264.015,97",,05,2018,2018-10-20
outubro 2018,Ordenamento Territorial,"200.000,00","200.000,00","19.158,40","114.950,40","0,01","85.049,60","18.978,40","76.633,60","0,01","123.366,40",,05,2018,2018-10-20
outubro 2018,Formação de Recursos Humanos,"200.000,00","200.000,00",,"180.000,00","0,01","20.000,00","21.500,76","112.454,05","0,01","87.545,95",,05,2018,2018-10-20
outubro 2018,Administração de Receitas,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Administração de Concessões,"1.000,00","1.000,00",,,,"1.000,00",,,"0,00","1.000,00",,05,2018,2018-10-20
outubro 2018,Comunicação Social,"1.410.000,00","1.502.000,00","256.642,19","1.209.563,89","0,09","292.436,11","160.092,68","949.456,83","0,08","552.543,17",,05,2018,2018-10-20
outubro 2018,FU04 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Defesa Nacional,"0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Defesa Aérea,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Defesa Naval,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Defesa Terrestre,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU05 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU05 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Segurança Pública,"41.944.900,00","41.944.900,00","5.920.856,20","32.604.004,15","2,33","9.340.895,85","6.232.404,04","31.908.606,29","2,66","10.036.293,71","0,00",05,2018,2018-10-20
outubro 2018,Policiamento,"40.870.000,00","40.870.000,00","5.912.073,50","31.807.761,43","2,28","9.062.238,57","6.098.056,82","31.352.179,51","2,61","9.517.820,49",,05,2018,2018-10-20
outubro 2018,Defesa Civil,"860.000,00","860.000,00","8.782,70","668.788,23","0,05","191.211,77","107.689,87","457.292,38","0,04","402.707,62",,05,2018,2018-10-20
outubro 2018,Informação e Inteligência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,05,2018,2018-10-20
outubro 2018,FU06 - Administração Geral,"209.900,00","209.900,00",,"127.454,49","0,01","82.445,51","26.657,35","99.134,40","0,01","110.765,60",,05,2018,2018-10-20
outubro 2018,FU06 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Relações Exteriores,"0,00","0,00","0,00","0,00",,,"0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Relações Diplomáticas,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Cooperação Internacional,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU07 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU07 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Assistência Social,"43.588.600,00","46.026.065,85","1.183.810,48","38.015.103,29","2,72","8.010.962,56","6.118.192,05","31.427.165,61","2,62","14.598.900,24","0,00",05,2018,2018-10-20
outubro 2018,Assistência ao Idoso,"3.325.000,00","3.524.100,34",,"3.234.850,74","0,23","289.249,60","542.704,56","2.695.149,17","0,22","828.951,17",,05,2018,2018-10-20
outubro 2018,Assistência ao Portador de Deficiência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,05,2018,2018-10-20
outubro 2018,Assistência à Criança e ao Adolescente,"12.275.000,00","12.188.195,11","-20.073,48","10.498.390,70","0,75","1.689.804,41","1.451.473,68","8.968.738,12","0,75","3.219.456,99",,05,2018,2018-10-20
outubro 2018,Assistência Comunitária,"18.558.600,00","21.143.770,40","90.522,68","17.050.559,52","1,22","4.093.210,88","2.637.497,36","13.312.615,62","1,11","7.831.154,78",,05,2018,2018-10-20
outubro 2018,FU08 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Previdência Social,"108.821.000,00","111.621.000,00","17.200.384,91","87.942.113,41","6,30","23.678.886,59","17.240.880,46","87.856.412,90","7,31","23.764.587,10","0,00",05,2018,2018-10-20
outubro 2018,Previdência Básica,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Previdência do Regime Estatutário,"108.821.000,00","111.621.000,00","17.200.384,91","87.942.113,41","6,30","23.678.886,59","17.240.880,46","87.856.412,90","7,31","23.764.587,10",,05,2018,2018-10-20
outubro 2018,Previdência Complementar,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Previdência Especial,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU09 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU09 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Saúde,"400.493.000,00","419.407.554,96","37.678.647,36","348.334.906,35","24,95","71.072.648,61","64.990.373,40","305.939.405,41","25,46","113.468.149,55","0,00",05,2018,2018-10-20
outubro 2018,Atenção Básica,"66.240.000,00","65.782.958,13","2.772.788,26","50.738.367,80","3,63","15.044.590,33","7.316.551,93","37.673.600,09","3,14","28.109.358,04",,05,2018,2018-10-20
outubro 2018,Assistência Hospitalar e Ambulatorial,"93.559.000,00","106.880.326,82","3.422.012,35","98.201.804,08","7,03","8.678.522,74","18.899.976,77","82.479.649,28","6,86","24.400.677,54",,05,2018,2018-10-20
outubro 2018,Suporte Profilático e Terapêutico,"4.314.000,00","5.418.044,94","687.532,00","2.314.689,79","0,17","3.103.355,15","1.336.331,62","1.693.721,99","0,14","3.724.322,95",,05,2018,2018-10-20
outubro 2018,Vigilância Sanitária,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Vigilância Epidemiológica,"2.730.000,00","3.236.438,54","69.253,18","2.525.425,32","0,18","711.013,22","173.293,23","803.441,24","0,07","2.432.997,30",,05,2018,2018-10-20
outubro 2018,Alimentação e Nutrição,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU10 - Administração Geral,"233.650.000,00","238.089.786,53","30.727.061,57","194.554.619,36","13,93","43.535.167,17","37.264.219,85","183.288.992,81","15,25","54.800.793,72",,05,2018,2018-10-20
outubro 2018,FU10 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Trabalho,"9.848.000,00","9.849.800,00","83.846,35","7.473.478,46","0,54","2.376.321,54","1.130.574,75","5.514.345,68","0,46","4.335.454,32","0,00",05,2018,2018-10-20
outubro 2018,Proteção e Benefícios ao Trabalhador,"8.150.000,00","8.150.000,00","76.496,35","7.237.739,06","0,52","912.260,94","1.084.195,33","5.359.458,14","0,45","2.790.541,86",,05,2018,2018-10-20
outubro 2018,Relações de Trabalho,"1.199.000,00","1.457.100,00","7.350,00","46.039,40","0,00","1.411.060,60","6.350,00","6.875,00",,"1.450.225,00",,05,2018,2018-10-20
outubro 2018,Empregabilidade,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Fomento ao Trabalho,"499.000,00","242.700,00",,"189.700,00","0,01","53.000,00","40.029,42","148.012,54","0,01","94.687,46",,05,2018,2018-10-20
outubro 2018,FU11 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU11 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Educação,"380.565.900,00","392.125.226,18","40.313.785,55","306.616.379,28","21,96","85.508.846,90","60.681.021,83","274.524.359,37","22,84","117.600.866,81","0,00",05,2018,2018-10-20
outubro 2018,Ensino Fundamental,"116.864.000,00","119.101.578,28","11.256.417,12","91.947.123,62","6,58","27.154.454,66","18.595.621,49","83.470.056,42","6,95","35.631.521,86",,05,2018,2018-10-20
outubro 2018,Ensino Médio,"3.150.000,00","3.068.000,00","16.000,00","2.966.960,00","0,21","101.040,00","739.426,98","1.582.808,52","0,13","1.485.191,48",,05,2018,2018-10-20
outubro 2018,Ensino Profissional,"2.325.000,00","2.525.000,00","424.166,15","2.159.930,59","0,15","365.069,41","425.416,15","2.159.930,59","0,18","365.069,41",,05,2018,2018-10-20
outubro 2018,Ensino Superior,"16.685.000,00","16.257.000,00","2.199.584,48","11.755.728,22","0,84","4.501.271,78","2.249.335,92","11.631.481,95","0,97","4.625.518,05",,05,2018,2018-10-20
outubro 2018,Educação Infantil,"191.344.000,00","197.696.448,66","23.130.223,55","149.341.960,34","10,69","48.354.488,32","28.984.216,91","139.582.167,49","11,62","58.114.281,17",,05,2018,2018-10-20
outubro 2018,Educação de Jovens e Adultos,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Educação Especial,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Educação Básica,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU12 - Administração Geral,"17.128.000,00","17.993.000,00","2.581.828,09","14.268.396,40","1,02","3.724.603,60","2.620.288,70","12.935.693,42","1,08","5.057.306,58",,05,2018,2018-10-20
outubro 2018,FU12 - Demais Subfunções,"33.069.900,00","35.484.199,24","705.566,16","34.176.280,11","2,45","1.307.919,13","7.066.715,68","23.162.220,98","1,93","12.321.978,26",,05,2018,2018-10-20
outubro 2018,Cultura,"7.199.000,00","7.525.000,00","733.729,47","4.783.029,38","0,34","2.741.970,62","817.638,09","3.594.261,81","0,30","3.930.738,19","0,00",05,2018,2018-10-20
outubro 2018,Patrimônio Histórico Artístico e Arqueológico,"750.000,00","750.000,00","22.203,85","145.721,40","0,01","604.278,60","36.058,20","116.514,12","0,01","633.485,88",,05,2018,2018-10-20
outubro 2018,Difusão Cultural,"6.449.000,00","6.775.000,00","711.525,62","4.637.307,98","0,33","2.137.692,02","781.579,89","3.477.747,69","0,29","3.297.252,31",,05,2018,2018-10-20
outubro 2018,FU13 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU13 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Direitos da Cidadania,"550.000,00","696.000,00","73.295,90","254.005,28","0,02","441.994,72","32.960,67","140.737,14","0,01","555.262,86","0,00",05,2018,2018-10-20
outubro 2018,Custódia e Reintegração Social,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Direitos Individuais Coletivos e Difusos,"550.000,00","696.000,00","73.295,90","254.005,28","0,02","441.994,72","32.960,67","140.737,14","0,01","555.262,86",,05,2018,2018-10-20
outubro 2018,Assistência aos Povos Indígenas,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU14 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU14 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Urbanismo,"90.177.000,00","98.428.981,32","8.357.508,95","64.883.846,57","4,65","33.545.134,75","10.557.549,17","43.993.881,58","3,66","54.435.099,74","0,00",05,2018,2018-10-20
outubro 2018,Infra-Estrutura Urbana,"24.400.000,00","23.483.471,10","229.459,73","8.062.091,54","0,58","15.421.379,56","1.106.036,40","3.225.411,60","0,27","20.258.059,50",,05,2018,2018-10-20
outubro 2018,Serviços Urbanos,"43.998.000,00","53.108.081,32","7.447.470,29","44.259.170,14","3,17","8.848.911,18","8.732.945,21","34.100.070,63","2,84","19.008.010,69",,05,2018,2018-10-20
outubro 2018,Transportes Coletivos Urbanos,"21.679.000,00","21.679.900,00","680.578,93","12.405.055,99","0,89","9.274.844,01","707.507,47","6.648.661,19","0,55","15.031.238,81",,05,2018,2018-10-20
outubro 2018,FU15 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU15 - Demais Subfunções,"100.000,00","157.528,90",,"157.528,90","0,01",,"11.060,09","19.738,16","0,00","137.790,74",,05,2018,2018-10-20
outubro 2018,Habitação,"8.000.000,00","9.879.950,00","1.467.738,87","8.295.228,50","0,59","1.584.721,50","1.608.009,33","7.893.329,78","0,66","1.986.620,22","0,00",05,2018,2018-10-20
outubro 2018,Habitação Rural,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU16 - Administração Geral,"6.050.000,00","6.754.950,00","1.092.470,82","5.230.341,95","0,37","1.524.608,05","1.130.053,37","5.013.843,23","0,42","1.741.106,77",,05,2018,2018-10-20
outubro 2018,FU16 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Saneamento,"209.136.000,00","224.318.314,07","17.001.352,56","192.025.174,22","13,75","32.293.139,85","30.240.322,58","136.924.430,96","11,39","87.393.883,11","0,00",05,2018,2018-10-20
outubro 2018,Saneamento Básico Rural,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Saneamento Básico Urbano,"110.617.000,00","117.433.314,07","1.010.602,14","103.090.912,10","7,38","14.342.401,97","14.755.561,77","68.068.422,40","5,66","49.364.891,67",,05,2018,2018-10-20
outubro 2018,FU17 - Administração Geral,"87.040.000,00","93.581.000,00","15.109.310,87","79.723.245,06","5,71","13.857.754,94","13.367.661,23","61.773.922,44","5,14","31.807.077,56",,05,2018,2018-10-20
outubro 2018,FU17 - Demais Subfunções,"11.479.000,00","13.304.000,00","881.439,55","9.211.017,06","0,66","4.092.982,94","2.117.099,58","7.082.086,12","0,59","6.221.913,88",,05,2018,2018-10-20
outubro 2018,Gestão Ambiental,"128.280.000,00","128.785.777,60","10.280.914,65","122.447.447,46","8,77","6.338.330,14","21.290.519,73","106.266.804,42","8,84","22.518.973,18","0,00",05,2018,2018-10-20
outubro 2018,Preservação e Conservação Ambiental,"28.975.000,00","28.998.540,00","1.458.175,36","27.400.312,89","1,96","1.598.227,11","4.578.740,02","21.884.019,59","1,82","7.114.520,41",,05,2018,2018-10-20
outubro 2018,Controle Ambiental,"88.890.000,00","89.469.460,00","7.698.545,77","86.955.093,49","6,23","2.514.366,51","15.117.635,59","76.507.551,16","6,37","12.961.908,84",,05,2018,2018-10-20
outubro 2018,Recuperação de Áreas Degradadas,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Recursos Hídricos,"125.000,00","125.000,00",,,,"125.000,00",,,,"125.000,00",,05,2018,2018-10-20
outubro 2018,Meteorologia,,"710.000,00",,,,"710.000,00",,,,"710.000,00",,05,2018,2018-10-20
outubro 2018,FU18 - Administração Geral,"9.630.000,00","9.482.777,60","1.124.193,52","7.969.297,08","0,57","1.513.480,52","1.594.144,12","7.875.233,67","0,66","1.607.543,93",,05,2018,2018-10-20
outubro 2018,FU18 - Demais Subfunções,"660.000,00",,,"122.744,00","0,01","-122.744,00",,,,,,05,2018,2018-10-20
outubro 2018,Ciência e Tecnologia,"600.000,00","550.000,00","0,00","500.000,00","0,04","50.000,00","0,00","500.000,00","0,04","50.000,00","0,00",05,2018,2018-10-20
outubro 2018,Desenvolvimento Científico,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Desenvolvimento Tecnológico e Engenharia,"600.000,00","550.000,00",,"500.000,00","0,04","50.000,00",,"500.000,00","0,04","50.000,00",,05,2018,2018-10-20
outubro 2018,Difusão do Conhecimento Científico e Tecnológico,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU19 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU19 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Agricultura,"9.160.000,00","10.275.045,50","1.102.531,12","7.072.186,36","0,51","3.202.859,14","1.237.287,76","5.904.638,62","0,49","4.370.406,88","0,00",05,2018,2018-10-20
outubro 2018,Abastecimento,"1.125.000,00","1.255.045,50","143.325,40","971.695,58","0,07","283.349,92","205.200,40","746.075,48","0,06","508.970,02",,05,2018,2018-10-20
outubro 2018,Extensão Rural,"3.820.000,00","4.805.000,00","362.183,45","2.777.107,90","0,20","2.027.892,10","433.537,41","1.845.284,32","0,15","2.959.715,68",,05,2018,2018-10-20
outubro 2018,Irrigação,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Promoção da Produção Agropecuária,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Defesa Agropecuária,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU20 - Administração Geral,"4.215.000,00","4.215.000,00","597.022,27","3.323.382,88","0,24","891.617,12","598.549,95","3.313.278,82","0,28","901.721,18",,05,2018,2018-10-20
outubro 2018,FU20 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Organização Agrária,"0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Reforma Agrária,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Colonização,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU21 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU21 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Indústria,"400.000,00","400.000,00","0,00","0,00",,"400.000,00","0,00","0,00","0,00","400.000,00","0,00",05,2018,2018-10-20
outubro 2018,Promoção Industrial,"400.000,00","400.000,00",,,,"400.000,00",,,"0,00","400.000,00",,05,2018,2018-10-20
outubro 2018,Produção Industrial,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Mineração,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Propriedade Industrial,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Normalização e Qualidade,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU22 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU22 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Comércio e Serviços,"2.650.000,00","2.324.000,00","178.901,38","1.256.282,73","0,09","1.067.717,27","198.860,43","817.774,08","0,07","1.506.225,92","0,00",05,2018,2018-10-20
outubro 2018,Promoção Comercial,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Comercialização,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Comércio Exterior,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Serviços Financeiros,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Turismo,"2.650.000,00","2.324.000,00","178.901,38","1.256.282,73","0,09","1.067.717,27","198.860,43","817.774,08","0,07","1.506.225,92",,05,2018,2018-10-20
outubro 2018,FU23 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU23 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Comunicações,"0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Comunicações Postais,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Telecomunicações,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU24 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Energia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",05,2018,2018-10-20
outubro 2018,Conservação de Energia,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Energia Elétrica,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Combustíveis Minerais,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Biocombustíveis,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU25 - Administração Geral,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,FU25 - Demais Subfunções,,,,,,,,,,,,05,2018,2018-10-20
outubro 2018,Transporte,"410.000,00","410.000,00","0,00","269.681,21","0,02","140.318,79","41.927,90","201.211,46","0,02","208.788,54","0,00",05,2018,2018-10-20
outubro 2018,Transporte Aéreo,"410.000,00","410.000,00",,"269.681,21","0,02","140.318,79","41.927,90","201.211,46","0,02","208.788,54",,05,2018,2018-10-20
